iter	Logloss
0	0.6124525703
1	0.5636528252
2	0.5041633434
3	0.4776094794
4	0.4293043102
5	0.3982711556
6	0.367703719
7	0.3410512526
8	0.3159967031
9	0.2941863716
10	0.2721316472
11	0.2588928528
12	0.246986908
13	0.2351773881
14	0.2237002226
15	0.2091323226
16	0.2008226787
17	0.1957799402
18	0.1905743011
19	0.1834428716
20	0.175886563
21	0.1704533992
22	0.1656795259
23	0.1624391828
24	0.1581907559
25	0.1552549201
26	0.1500939622
27	0.1445327043
28	0.1416676393
29	0.1392343162
30	0.1367306763
31	0.1349882493
32	0.1317499423
33	0.129862173
34	0.1283167657
35	0.1263612907
36	0.1246453705
37	0.1225456763
38	0.1212356217
39	0.1192668102
40	0.11658005
41	0.1145346055
42	0.1132292386
43	0.112289888
44	0.1109844085
45	0.1093236254
46	0.1082129143
47	0.1069287304
48	0.1055108003
49	0.1044183318
50	0.103749266
51	0.1024698061
52	0.1010661352
53	0.09904407838
54	0.09769003786
55	0.09725833468
56	0.09665799163
57	0.0954310617
58	0.09383917975
59	0.09341572889
60	0.09246311969
61	0.09152132683
62	0.09047906438
63	0.09000659816
64	0.08923662058
65	0.08835704459
66	0.08771464272
67	0.08683191689
68	0.08582778546
69	0.08491617784
70	0.08454611403
71	0.08365432596
72	0.08319497647
73	0.08250264402
74	0.08143086754
75	0.07967363294
76	0.07927461418
77	0.07868025024
78	0.0776925657
79	0.07722686601
80	0.07682210171
81	0.07598085267
82	0.0756713546
83	0.07505762543
84	0.074063117
85	0.07394986825
86	0.07242584201
87	0.0707658128
88	0.070056474
89	0.06948072977
90	0.06915433672
91	0.06862515277
92	0.06787898153
93	0.06743610448
94	0.06694118488
95	0.06668279968
96	0.06540078245
97	0.06484550001
98	0.06429846555
99	0.06362006231
100	0.06318125108
101	0.06241460898
102	0.0619240876
103	0.06170345705
104	0.06141858621
105	0.06071718181
106	0.06022487459
107	0.05935824282
108	0.05888246402
109	0.0582905992
110	0.05764306705
111	0.05737392728
112	0.05681157619
113	0.05653246675
114	0.05631323043
115	0.05579555773
116	0.05543979196
117	0.05512038529
118	0.05468638737
119	0.05421479137
120	0.05303212225
121	0.0527274727
122	0.05212434502
123	0.05145002269
124	0.05061202014
125	0.04969983612
126	0.04950123093
127	0.04912553178
128	0.0488461066
129	0.04844878026
130	0.04812026905
131	0.04783705836
132	0.04732864219
133	0.046906517
134	0.04627856778
135	0.04601102473
136	0.04558000112
137	0.04531107832
138	0.04512512897
139	0.04504451553
140	0.04491977916
141	0.044702094
142	0.04393519457
143	0.0438162805
144	0.04359882742
145	0.04341939614
146	0.0430573148
147	0.04284572951
148	0.04261931229
149	0.04237382822
150	0.04219813891
151	0.04199942968
152	0.04170193738
153	0.04143300354
154	0.04120655007
155	0.04066990884
156	0.04049136351
157	0.04014939036
158	0.03979438181
159	0.03968535764
160	0.03949257369
161	0.03934812816
162	0.03893506889
163	0.03868931359
164	0.03848333696
165	0.03828492584
166	0.03808071162
167	0.03781193977
168	0.03742565753
169	0.03731877388
170	0.03700972508
171	0.03690910366
172	0.03685039017
173	0.03675489609
174	0.03610298243
175	0.03588030635
176	0.03559143817
177	0.03515992793
178	0.03509194965
179	0.0349986136
180	0.03471006569
181	0.03463449635
182	0.03436731695
183	0.0342426235
184	0.03403617303
185	0.03376290671
186	0.03333907896
187	0.03305006317
188	0.03303768701
189	0.03290736516
190	0.03269569948
191	0.03239975943
192	0.03181536968
193	0.03151390003
194	0.03124527427
195	0.03092840147
196	0.03060501152
197	0.03044510694
198	0.03032571238
199	0.03021479378
200	0.03001678061
201	0.02995616876
202	0.02958486724
203	0.02952888338
204	0.02946514174
205	0.02933124496
206	0.02893939179
207	0.02886004443
208	0.02875325764
209	0.02873672706
210	0.02849758928
211	0.02828947153
212	0.02811308771
213	0.02780841956
214	0.02765060313
215	0.02714577144
216	0.02703966183
217	0.02699025322
218	0.02697529818
219	0.02688408198
220	0.02676306217
221	0.02655409536
222	0.02649022202
223	0.02638105447
224	0.02633665626
225	0.02614718787
226	0.02602977763
227	0.02589679715
228	0.02577465484
229	0.02556271639
230	0.02536156949
231	0.02503631698
232	0.02501347316
233	0.0247898715
234	0.02465934339
235	0.02460978556
236	0.02447103229
237	0.0243793575
238	0.02420126247
239	0.02405231211
240	0.02377168678
241	0.02368699018
242	0.0235778272
243	0.02347058836
244	0.02337581579
245	0.02320688618
246	0.02301606845
247	0.02294596482
248	0.0227597557
249	0.02267056972
250	0.02257243584
251	0.02226179261
252	0.02222156673
253	0.02203355109
254	0.02192889978
255	0.02183627847
256	0.02175540177
257	0.02140484713
258	0.02136832086
259	0.02117526054
260	0.021169707
261	0.02109931772
262	0.02099788845
263	0.02097426397
264	0.02080932859
265	0.02078100631
266	0.02075429619
267	0.02070277436
268	0.02068265698
269	0.02064826445
270	0.02061106885
271	0.02057960684
272	0.02054522613
273	0.02048037653
274	0.02033442335
275	0.02004265714
276	0.01992312636
277	0.01975152272
278	0.01966284037
279	0.01965010246
280	0.01930455053
281	0.01918529852
282	0.01910256147
283	0.01906950156
284	0.0189442658
285	0.01891418018
286	0.01884173663
287	0.0188291502
288	0.01872134341
289	0.01860182612
290	0.01835104864
291	0.01824845288
292	0.018121331
293	0.01806079656
294	0.01804971587
295	0.0179534562
296	0.01792718208
297	0.01784556266
298	0.01774431799
299	0.01762939032
