,Accuracy,Precision,Recall,F1,AUC-ROC,FAR,FNR,Inf.Time(ms)
RandomForest,0.9411764705882353,0.8780487804878049,0.8275862068965517,0.8520710059171598,0.9836427939876216,0.029585798816568046,0.1724137931034483,0.2826864579144646
XGBoost,0.9529411764705882,0.9135802469135802,0.8505747126436781,0.8809523809523809,0.9829286540161871,0.020710059171597635,0.14942528735632185,0.01334078171673943
SVM,0.9435294117647058,0.8387096774193549,0.896551724137931,0.8666666666666667,0.9804461674488201,0.04437869822485207,0.10344827586206896,0.2489000208237592
MLP,0.9552941176470588,0.8863636363636364,0.896551724137931,0.8914285714285715,0.9904101203835952,0.029585798816568046,0.10344827586206896,0.3896948870490579
IsolationForest,0.6588235294117647,0.3141025641025641,0.5632183908045977,0.40329218106995884,0.6684350132625995,0.3165680473372781,0.4367816091954023,0.014121111701516545
OneClassSVM,0.7717647058823529,0.45901639344262296,0.6436781609195402,0.5358851674641149,0.7547099231449365,0.1952662721893491,0.3563218390804598,0.00580282772288603
KMeans,0.76,0.44525547445255476,0.7011494252873564,0.5446428571428571,0.8156838740393118,0.22485207100591717,0.2988505747126437,0.0007584515739889705
LOF,0.5952941176470589,0.3111111111111111,0.8045977011494253,0.44871794871794873,0.8233353737332517,0.45857988165680474,0.19540229885057472,0.07388507618623621
Autoencoder,0.7929411764705883,0.49624060150375937,0.7586206896551724,0.6,0.8841052846357886,0.19822485207100593,0.2413793103448276,0.5467560712028953
